ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
PYRUM.OL,2025-11-19,332.0,52.69,-0.76,1.3112,329.66,0.71,28.29,63.77,53.85,NEUTRAL,0.0,3.0,0.0,MODERATE,
GSF.OL,2025-11-19,69.25,52.73,6.78,0.1534,68.968,0.41,18.35,41.29,58.76,NEUTRAL,0.0,1.75,0.0,LOW,
ELK.OL,2025-11-19,26.68,52.84,-1.73,0.0684,26.5152,0.62,16.36,47.68,60.78,NEUTRAL,0.0,1.75,0.0,LOW,
HELG.OL,2025-11-19,176.9,53.3,0.0,0.8461,175.268,0.93,10.13,38.53,60.26,NEUTRAL,0.0,1.75,0.0,LOW,
NHY.OL,2025-11-19,71.0,53.31,3.58,0.0664,68.948,2.98,18.73,75.64,48.16,NEUTRAL,0.0,1.75,0.0,LOW,
SDSD.OL,2025-11-19,1.845,53.84,9.54,0.0007,1.8351,0.54,49.77,75.89,54.0,NEUTRAL,0.0,5.0,0.0,HIGH,
GOD.OL,2025-11-19,9.2,54.25,-1.51,0.02,9.0144,2.06,17.43,78.02,52.5,NEUTRAL,0.0,1.75,0.0,LOW,
AKER.OL,2025-11-19,780.0,54.66,-1.98,-1.07,746.1914,4.53,35.32,61.7,39.13,NEUTRAL,0.0,5.0,0.0,HIGH,
SOAG.OL,2025-11-19,446.9,54.98,1.18,0.3157,439.345,1.72,24.26,61.61,61.53,NEUTRAL,0.0,3.0,0.0,MODERATE,
KOA.OL,2025-11-19,1.744,55.1,3.3,0.0027,1.681,3.75,30.4,41.84,55.18,NEUTRAL,0.0,5.0,0.0,HIGH,
SWON.OL,2025-11-19,104.76,55.2,3.2,0.7123,102.652,2.05,18.19,65.04,59.48,NEUTRAL,0.0,1.75,0.0,LOW,
AKSO.OL,2025-11-19,30.64,56.04,3.57,0.0583,29.3392,4.43,28.27,85.01,53.51,NEUTRAL,0.0,3.0,0.0,MODERATE,
PHO.OL,2025-11-19,59.0,56.71,-0.84,0.3761,56.898,3.69,28.7,65.8,55.97,NEUTRAL,0.0,3.0,0.0,MODERATE,
DOFG.OL,2025-11-19,94.5,57.36,-4.3,0.647,91.9993,2.72,27.44,70.14,51.44,NEUTRAL,0.0,3.0,0.0,MODERATE,
SKUE.OL,2025-11-19,319.95,57.53,9.09,0.5861,317.883,0.65,14.59,60.22,71.23,NEUTRAL,0.0,1.75,0.0,LOW,
ASA.OL,2025-11-19,7.899,57.76,9.06,0.0651,7.5782,4.23,9.67,72.11,72.24,NEUTRAL,0.0,1.75,0.0,LOW,
WWIB.OL,2025-11-19,492.0,58.14,12.0,0.5366,478.21,2.88,14.28,61.26,62.51,NEUTRAL,0.0,1.75,0.0,LOW,
GYL.OL,2025-11-19,426.0,58.24,18.08,1.1216,425.24,0.18,11.11,100.0,83.78,NEUTRAL,0.0,1.75,0.0,LOW,
HSHP.OL,2025-11-19,83.7,58.76,2.59,0.6546,81.9039,2.19,16.6,69.93,67.36,NEUTRAL,0.0,1.75,0.0,LOW,
ODFB.OL,2025-11-19,122.8,60.46,6.84,0.3822,117.912,4.15,22.44,89.74,63.46,NEUTRAL,0.0,3.0,0.0,MODERATE,
DNO.OL,2025-11-19,14.91,60.52,-4.12,0.1759,14.1143,5.64,29.1,75.89,58.18,NEUTRAL,0.0,3.0,0.0,MODERATE,
WWI.OL,2025-11-19,528.0,61.08,14.89,0.9927,510.66,3.4,14.73,69.42,67.72,NEUTRAL,0.0,1.75,0.0,LOW,
ODF.OL,2025-11-19,126.2,61.61,7.61,0.4731,120.664,4.59,21.57,82.14,65.19,NEUTRAL,0.0,3.0,0.0,MODERATE,
AFG.OL,2025-11-19,175.8,61.85,4.43,1.132,166.3227,5.7,16.74,73.89,65.49,NEUTRAL,0.0,1.75,0.0,LOW,
VEI.OL,2025-11-19,164.8,61.88,5.2,0.6333,159.156,3.55,22.54,61.8,67.21,NEUTRAL,0.0,3.0,0.0,MODERATE,
HUNT.OL,2025-11-19,1.568,62.09,-4.02,0.0092,1.3918,12.66,35.5,62.84,61.72,NEUTRAL,0.0,5.0,0.0,HIGH,
AURG.OL,2025-11-19,250.95,62.2,-2.43,0.5109,242.328,3.56,14.45,25.08,70.21,NEUTRAL,0.0,1.75,0.0,LOW,
2020.OL,2025-11-19,143.11,62.4,3.75,0.6033,138.8795,3.05,14.66,56.6,71.33,NEUTRAL,0.0,1.75,0.0,LOW,
VVL.OL,2025-11-19,390.0,62.69,0.0,1.36,377.72,3.25,19.71,76.26,76.2,NEUTRAL,0.0,1.75,0.0,LOW,
SOGN.OL,2025-11-19,272.95,63.2,0.79,1.9203,257.896,5.84,32.8,66.48,68.33,NEUTRAL,0.0,5.0,0.0,HIGH,
MELG.OL,2025-11-19,179.3,63.4,0.68,0.5233,172.2212,4.11,19.4,66.11,66.16,NEUTRAL,0.0,1.75,0.0,LOW,
ODL.OL,2025-11-19,82.7,63.43,7.41,0.2979,77.4073,6.84,15.89,57.69,71.56,NEUTRAL,0.0,1.75,0.0,LOW,
FRO.OL,2025-11-19,258.0,63.45,1.03,1.0585,236.14,9.26,15.31,52.2,68.27,NEUTRAL,0.0,1.75,0.0,LOW,
CLCO.OL,2025-11-19,98.4,64.61,-0.0,-0.3164,92.898,5.92,10.59,40.4,56.69,NEUTRAL,0.0,1.75,0.0,LOW,
FLNG.OL,,,,,,,,,,,,,,,,download_failed_or_insufficient_data
SEAPT.OL,,,,,,,,,,,,,,,,download_failed_or_insufficient_data
