# oslo-screener report=report_2025-12-31T0650Z.csv data_fetch_started=2025-12-31T06:49:35Z data_fetch_completed=2025-12-31T06:50:10Z generated_at=2025-12-31T06:50:10Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
REACH.OL,2025-12-30,6.83,62.5,5.3,0.0688,6.5342,4.53,16.84,60.83,79.6,NEUTRAL,0.0,1.75,0.0,LOW,
AFG.OL,2025-12-30,188.2,62.56,2.36,-0.2503,175.3079,7.35,30.47,76.43,64.69,NEUTRAL,0.0,5.0,0.0,HIGH,
HAUTO.OL,2025-12-30,98.05,62.74,2.12,0.1929,91.3127,7.38,24.09,71.98,68.06,NEUTRAL,0.0,3.0,0.0,MODERATE,
ODL.OL,2025-12-30,87.5,62.89,4.95,-0.2627,82.0367,6.66,33.19,45.94,71.31,NEUTRAL,0.0,5.0,0.0,HIGH,
INIFY.OL,2025-12-30,4.84,63.02,21.36,0.1247,4.5144,7.21,35.93,64.01,83.41,NEUTRAL,0.0,5.0,0.0,HIGH,
2020.OL,2025-12-30,144.9,63.3,4.79,0.0478,139.9464,3.54,14.04,39.58,76.46,NEUTRAL,0.0,1.75,0.0,LOW,
BOR.OL,2025-12-30,19.5,63.41,6.65,0.0963,17.827,9.38,33.18,69.5,66.45,NEUTRAL,0.0,5.0,0.0,HIGH,
SCATC.OL,2025-12-30,106.2,64.23,-0.5,0.5622,102.637,3.47,23.84,71.65,74.51,NEUTRAL,0.0,3.0,0.0,MODERATE,
TRE.OL,2025-12-12,39.5,64.51,0.0,0.1807,35.3084,11.87,21.49,99.46,75.03,NEUTRAL,0.0,3.0,0.0,MODERATE,
GYL.OL,2025-12-30,470.0,64.66,-8.17,3.8511,432.2,8.75,25.58,31.01,64.42,NEUTRAL,0.0,3.0,0.0,MODERATE,
DNB.OL,2025-12-30,281.5,64.93,1.59,0.6792,268.218,4.95,25.14,74.63,69.32,NEUTRAL,0.0,3.0,0.0,MODERATE,
VENDA.OL,,,,,,,,,,,,,,,,download_failed_or_insufficient_data
